2024-11-15 00:14:52.999 [] INFO  - org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-15 00:14:53.112 [] INFO  - org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2024-11-15 00:14:53.119 [] INFO  - org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-11-15 00:14:53.411 [] INFO  - org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-11-15 00:14:53.703 [] INFO  - org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-11-15 00:14:53.736 [] INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-11-15 00:14:55.257 [] INFO  - com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1c982c34
2024-11-15 00:14:55.259 [] INFO  - com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-11-15 00:14:57.085 [] INFO  - org.hibernate.bytecode.internal.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-11-15 00:14:58.581 [] INFO  - org.hibernate.metamodel.internal.EntityInstantiatorPojoStandard - HHH000182: No default (no-argument) constructor for class: org.ligot.afriyan.entities.UserConnect (class must be instantiated by Interceptor)
2024-11-15 00:14:59.354 [] INFO  - org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-11-15 00:15:39.268 [] INFO  - org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-11-15 00:15:39.824 [] INFO  - org.springframework.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-11-15 00:15:45.259 [] INFO  - org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-11-15 00:15:45.406 [] INFO  - org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5ba18dc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5877d44c, org.springframework.security.web.context.SecurityContextHolderFilter@1b407573, org.springframework.security.web.header.HeaderWriterFilter@3a994e0b, org.springframework.security.web.authentication.logout.LogoutFilter@557afff9, org.ligot.afriyan.config.securities.JwtAuthenticationFilter@569c2503, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@528658b4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2b421561, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2db33e59, org.springframework.security.web.session.SessionManagementFilter@3f57877d, org.springframework.security.web.access.ExceptionTranslationFilter@7bda3c4d, org.springframework.security.web.access.intercept.AuthorizationFilter@41b3847b]
2024-11-15 00:15:46.482 [] INFO  - org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-11-15 00:15:46.630 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8087 (http) with context path ''
2024-11-15 00:15:46.664 [] INFO  - org.ligot.afriyan.OngafriyanApplication - Started OngafriyanApplication in 60.127 seconds (process running for 62.437)
2024-11-15 00:33:40.399 [] INFO  - org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
